artist_name,genre,num_songs,avg_popularity
Aaron Lewis,Alternative,19,46.36842105263158
Aaron Lewis,Children's Music,15,51.06666666666667
Aaron Lewis,Country,31,47.12903225806452
Aaron Lewis,Rock,5,57.6
Aaron Neville,Soul,3,48.0
Aaron Parks,Jazz,2,37.0
Aaron Pritchett,Country,1,37.0
Aaron Shust,Alternative,6,48.666666666666664
Aaron Shust,Children's Music,6,55.666666666666664
Aaron Shust,Rock,5,56.6
Aaron Shust,World,25,38.64
Aaron Taos,Indie,1,46.0
Aaron Taylor,Children's Music,1,53.0
Aaron Taylor,Indie,1,53.0
Aaron Taylor,Jazz,6,48.166666666666664
Aaron Taylor,R&B,3,50.333333333333336
Aaron Tippin,Country,11,43.81818181818182
Aaron Tippin,Rock,2,57.5
Aaron Watson,Country,44,41.63636363636363
Aaron Watson,Rock,5,57.2
Aaron West & The Roaring Twenties,Alternative,1,38.0
Aaron Zigman,Soundtrack,24,29.708333333333332
Aaryan Shah,Soul,2,39.5
Aayushi,Soul,1,41.0
Aazar,Electronic,4,37.75
Ab-Soul,Alternative,6,53.166666666666664
Ab-Soul,Children's Music,6,57.833333333333336
Ab-Soul,Hip-Hop,7,56.42857142857143
Ab-Soul,Pop,2,67.0
Ab-Soul,Rap,4,61.5
Abbey Lincoln,Jazz,1,44.0
Abby Anderson,Country,4,46.25
Abby Anderson,Pop,1,60.0
Abel Carlevaro,Classical,3,28.666666666666668
Abel Korzeniowski,Soundtrack,46,31.891304347826086
Abhi The Nomad,Hip-Hop,5,50.6
Abhi The Nomad,Soul,27,42.51851851851852
Abhi//Dijon,Alternative,1,48.0
Abhi//Dijon,Children's Music,1,54.0
Abhi//Dijon,Indie,1,54.0
Abhi//Dijon,R&B,2,48.0
Abhi//Dijon,Soul,2,48.0
Abigail Lapell,Folk,1,59.0
Ablaye Cissoko,World,4,25.0
Abner Jay,Blues,3,27.333333333333332
Abraham Mateo,Pop,1,70.0
Abraham Vazquez,Pop,2,67.5
Absofacto,Indie,4,52.75
Absofacto,Pop,1,70.0
Abstract,Hip-Hop,3,59.333333333333336
Abstract,Indie,3,59.333333333333336
Abstract,Pop,1,64.0
Abstract,Rap,3,59.333333333333336
Abstract Orchestra,Jazz,5,39.8
Abstract Orchestra,R&B,1,44.0
Academy of Ancient Music,Classical,1,38.0
Academy of St. Martin in the Fields,Classical,3,34.333333333333336
Accademia Bizantina,Opera,30,12.7
Accept,Rock,1,59.0
Acceptance,Alternative,1,47.0
Acceptance,Children's Music,1,52.0
Accidental President,Ska,1,33.0
Ace Hood,Hip-Hop,9,52.77777777777778
Ace Hood,Rap,6,55.333333333333336
Ace of Base,Dance,3,61.0
Ace of Base,Pop,1,68.0
Achee Flips,Reggae,1,60.0
Acid Ghost,Indie,3,53.0
Acid Ghost,Rock,1,57.0
Acid Pauli,Electronic,4,33.0
Acker Bilk,Jazz,1,53.0
Acoustic Alchemy,Jazz,11,33.72727272727273
Action Bronson,Alternative,8,51.0
Action Bronson,Children's Music,10,54.5
Action Bronson,Hip-Hop,15,52.666666666666664
Action Bronson,Pop,1,66.0
Action Bronson,Rap,7,56.57142857142857
Active Bird Community,Indie,2,48.5
Actress,Electronic,1,41.0
Actress,World,1,41.0
Adairs Run,Country,2,37.5
Adam & The Ants,Ska,12,32.0
Adam Ant,Dance,1,53.0
Adam Baldych,Jazz,2,38.5
Adam Beyer,Electronic,7,50.285714285714285
Adam Calhoun,Country,27,48.0
Adam Calhoun,Rap,12,52.5
Adam Carroll,Country,1,39.0
Adam Craig,Country,4,47.0
Adam Craig,Pop,1,58.0
Adam Craig,Rock,2,56.0
Adam Doleac,Country,9,43.666666666666664
Adam Doleac,Pop,1,61.0
Adam Ferrara,Comedy,27,17.666666666666668
Adam Gussow,Blues,1,33.0
Adam Hambrick,Country,2,57.0
Adam Hambrick,Pop,2,57.0
Adam Hicks,Pop,1,60.0
Adam Hunter,Comedy,1,11.0
Adam Jacobs,Movie,20,36.5
Adam Jensen,Alternative,9,50.22222222222222
Adam Jensen,Children's Music,8,55.5
Adam Jensen,Indie,7,56.42857142857143
Adam Jensen,Rock,3,61.0
Adam Lambert,Dance,8,58.375
Adam Lambert,Pop,4,64.0
Adam Levine,Pop,1,64.0
Adam Levine,Rock,1,64.0
Adam Mitchell,Movie,1,59.0
Adam Rafferty,Jazz,3,41.0
Adam Sanders,Country,14,44.642857142857146
Adam Sanders,Pop,1,61.0
Adam Sanders,Rock,3,57.333333333333336
Adam Sandler,Comedy,90,20.011111111111113
Adam Wakefield,Country,1,43.0
Adani & Wolf,Jazz,1,50.0
Adele,Pop,23,66.52173913043478
Adele,Soul,38,61.5
Adelitas Way,Alternative,8,50.625
Adelitas Way,Children's Music,7,54.142857142857146
Adelitas Way,Rap,1,62.0
Adelitas Way,Rock,3,57.666666666666664
Adema,Alternative,2,48.0
Adema,Children's Music,2,51.0
Adham Shaikh,World,2,34.0
Adhitia Sofyan,Indie,1,60.0
Adia Victoria,Alternative,1,44.0
Adia Victoria,Children's Music,1,48.0
Adickta Sinfonía,Reggae,2,48.5
Adina Howard,R&B,2,53.0
Adina Howard,Soul,3,48.0
Adna,Indie,1,58.0
Adolphe Adam,Opera,175,12.577142857142857
Adoração Central,World,1,51.0
Adrian Eagle,Hip-Hop,1,52.0
Adrian Johnston,Soundtrack,18,22.166666666666668
Adrian Marcel,Alternative,1,56.0
Adrian Marcel,Children's Music,1,61.0
Adrian Marcel,Pop,1,61.0
Adrian Marcel,R&B,3,48.0
Adrian Sherwood,Reggae,1,20.0
Adrian Von Ziegler,Folk,1,45.0
Adriana Caselotti,Movie,10,30.7
Adrianne Lenker,Folk,9,47.111111111111114
Adrianne Lenker,Indie,3,51.666666666666664
Adriel Favela,Pop,6,65.0
Adrien Moignard,Jazz,1,39.0
Adult Mom,Folk,2,47.5
Adventure Club,Electronic,28,42.107142857142854
Ady Suleiman,Folk,2,59.0
Ady Suleiman,Indie,2,59.0
Ady Suleiman,R&B,4,54.0
Aer,Indie,7,49.42857142857143
Aer,Pop,1,59.0
Aer,Rap,3,53.0
Aer,Reggae,57,34.29824561403509
Aer,Rock,2,55.5
Aeris Roves,Alternative,2,48.0
Aeris Roves,R&B,4,50.25
Aerosmith,Rock,21,63.285714285714285
Aesop Rock,Alternative,8,46.125
Aesop Rock,Children's Music,8,50.625
Aesop Rock,Hip-Hop,9,50.55555555555556
Aesop Rock,Rap,1,56.0
Afaz Natural,Reggae,5,47.6
Afel Bocoum,World,1,39.0
Affelaye,Soul,2,46.5
Afrika Bambaataa,Hip-Hop,1,51.0
Afro B,Hip-Hop,3,63.333333333333336
Afro B,Pop,1,66.0
Afro Celt Sound System,World,7,31.571428571428573
Afro-Cuban All Stars,Jazz,3,42.666666666666664
AfroCubism,World,12,36.833333333333336
Afrojack,Dance,11,55.90909090909091
Afroman,Hip-Hop,4,61.0
Afroman,Pop,1,67.0
Afroman,Rap,4,61.0
After 7,R&B,5,46.8
After 7,Soul,8,44.375
After School,Dance,1,50.0
Afterglow,Anime,8,34.75
Afterlife,Jazz,1,47.0
Aftertheparty,Alternative,6,45.333333333333336
Aftertheparty,Children's Music,7,50.0
Aftertheparty,R&B,10,48.3
Aftertheparty,Soul,21,43.04761904761905
Afu-Ra,Alternative,1,53.0
Against All Authority,Folk,1,49.0
Against All Authority,Ska,40,20.55
Against All Logic,Hip-Hop,1,54.0
Against Me!,Folk,10,47.5
Against Me!,Indie,2,55.5
Against Me!,Ska,137,28.576642335766422
Agar Agar,Indie,2,60.0
Ages and Ages,Indie,2,47.0
Agnes Baltsa,Classical,1,34.0
Agnes Baltsa,Opera,3,19.333333333333332
Agnes Obel,Pop,2,58.5
Agustín Barrios Mangoré,Classical,29,6.206896551724138
Aha Gazelle,Hip-Hop,1,47.0
Ahmad Jamal,Jazz,12,37.25
Ahmad Jamal,Soul,2,51.0
Ahmad Jamal Trio,Jazz,5,37.6
Ahmad Jamal Trio,Soul,2,45.0
Ai Otsuka,Anime,14,32.92857142857143
Aica,R&B,1,42.0
Aidonia,Reggae,50,32.96
Ailee,Dance,3,60.0
Ailee,Pop,1,66.0
Aim,Electronic,9,43.44444444444444
Aim,Jazz,6,47.833333333333336
Aimee Mann,Folk,3,46.0
Aimee Mann,Rock,1,61.0
Aimer,Anime,115,31.321739130434782
Aimi,Anime,2,23.0
Air,Alternative,5,49.2
Air,Children's Music,3,51.0
Air,Dance,4,51.25
Air,Electronic,48,38.916666666666664
Air Supply,Rock,4,62.5
Air Traffic Controller,Indie,1,46.0
Airbourne,Rock,1,64.0
Airia,Soul,1,36.0
Airpark,Indie,1,49.0
Airways,Alternative,2,51.5
Airways,Children's Music,2,55.5
Airways,Rock,1,60.0
Aisha Badru,Folk,7,48.714285714285715
Aisha Badru,Pop,1,65.0
Aitana,Pop,2,74.5
Aiza Seguerra,Children's Music,1,58.0
Ajmw,Jazz,14,41.57142857142857
Akalé Wubé,Jazz,1,39.0
Akari Tsuda,Anime,1,15.0
Akihiko Matsumoto,Anime,9,12.666666666666666
Akihiko Matsumoto,Classical,2,25.0
Akiko Shikata,Anime,24,15.833333333333334
Akira Ifukube,Anime,16,18.8125
Akira Ifukube,Classical,2,27.0
Akira Ifukube,Soundtrack,2,27.0
Akira Kosemura,Classical,27,35.888888888888886
Akira Senju,Anime,8,16.75
Akira Yamaoka,Soundtrack,5,24.4
Akon,Dance,20,55.2
Akon,Pop,10,62.6
Akon,R&B,31,51.096774193548384
Akon,Rap,10,62.6
Akshin Alizadeh,Jazz,3,50.0
Akua Naru,Jazz,1,33.0
Akurei,Alternative,1,43.0
Akurei,Children's Music,2,49.5
Al B. Sure!,R&B,3,46.333333333333336
Al Barry,Reggae,1,55.0
Al Di Meola,Classical,1,30.0
Al Di Meola,Jazz,3,42.333333333333336
Al Green,Blues,49,39.42857142857143
Al Green,Soul,45,45.46666666666667
Al Gromer Khan,World,1,34.0
Al Hirt,Jazz,1,37.0
Al James,Alternative,1,58.0
Al James,Hip-Hop,1,64.0
Al Jarreau,Jazz,11,44.45454545454545
Al Kooper,Blues,3,32.666666666666664
Al Madrigal,Comedy,33,15.93939393939394
Al Stewart,Folk,4,45.75
Al Stewart,Rock,1,53.0
Al Wilson,Soul,2,40.5
Alabama,Country,35,44.542857142857144
Alabama,Rock,5,60.4
Alabama Shakes,Folk,16,48.625
Alabama Shakes,Indie,14,49.714285714285715
Alabama Shakes,Pop,3,57.333333333333336
Alabama Shakes,Rock,8,54.125
Alain Goraguer,Electronic,4,29.75
Alain Goraguer,Soundtrack,2,32.0
Alaine,Reggae,10,35.0
Alan Gogoll,Indie,2,50.0
Alan Hovhaness,Classical,4,25.0
Alan Jackson,Country,93,45.365591397849464
Alan Lomax,Blues,1,29.0
Alan Menken,Movie,298,22.21812080536913
Alan Menken,Soundtrack,122,36.114754098360656
Alan Pasqua,Jazz,1,39.0
Alan Price,Blues,2,30.5
Alan Saldaña,Comedy,35,22.485714285714284
