feature,genre,lasso_importance,randomforest_importance,avg_importance
key_C#,All,0.0,0.009244155867540092,0.006162770578360062
key_D,All,0.0,0.008435056205613054,0.005623370803742036
key_D#,All,0.0,0.0052089241532569585,0.0034726161021713057
key_E,All,0.0,0.0077486794912243855,0.005165786327482924
key_F,All,0.0,0.00787138416202884,0.00524758944135256
key_F#,All,0.0,0.00853191765400786,0.005687945102671906
key_G,All,0.0,0.00929446607999548,0.0061963107199969865
key_G#,All,0.0,0.007346638723817274,0.004897759149211516
mode_Major,All,0.0,0.008598421006119843,0.005732280670746562
mode_Minor,All,0.0,0.009010695233831518,0.006007130155887678
time_signature_0/4,All,0.0,0.0,0.0
time_signature_1/4,All,0.0,0.0017653879216156427,0.001176925281077095
time_signature_3/4,All,0.0,0.004463604471504187,0.0029757363143361245
time_signature_4/4,All,0.005492821868884503,0.0048122713039156564,0.0050391214922386055
time_signature_5/4,All,0.0,0.0025741802947444243,0.0017161201964962828
artist_name,Movie,0.5128144386268165,1.0,0.8376048128756054
track_name,Movie,0.0,0.16326314624516258,0.10884209749677505
track_id,Movie,0.0,0.15027698099872575,0.1001846539991505
acousticness,Movie,0.0,0.22294605914433646,0.1486307060962243
danceability,Movie,-0.6139061217336303,0.17896939479495724,0.32394830377451495
duration_ms,Movie,-0.06944064909572312,0.2017921099226671,0.15767495631368578
energy,Movie,0.0,0.14572852512625617,0.09715235008417078
instrumentalness,Movie,0.0,0.18440749610028423,0.12293833073352282
liveness,Movie,-0.012259971613588034,0.15933164753615248,0.11030775556196433
loudness,Movie,0.0,0.17718734448247758,0.11812489632165173
speechiness,Movie,-0.4081082950403861,0.23423972785062197,0.29219591691387664
tempo,Movie,0.0,0.1491160231960941,0.0994106821307294
valence,Movie,-1.0,0.20249987943948808,0.4683332529596587
genre_A Capella,Movie,0.0,0.0,0.0
genre_Alternative,Movie,0.0,0.0,0.0
genre_Anime,Movie,0.0,0.0,0.0
genre_Blues,Movie,0.0,0.0,0.0
genre_Children's Music,Movie,0.0,0.0,0.0
genre_Classical,Movie,0.0,0.0,0.0
genre_Comedy,Movie,0.0,0.0,0.0
genre_Country,Movie,0.0,0.0,0.0
genre_Dance,Movie,0.0,0.0,0.0
genre_Electronic,Movie,0.0,0.0,0.0
genre_Folk,Movie,0.0,0.0,0.0
genre_Hip-Hop,Movie,0.0,0.0,0.0
genre_Indie,Movie,0.0,0.0,0.0
genre_Jazz,Movie,0.0,0.0,0.0
genre_Movie,Movie,0.0,0.0,0.0
genre_Opera,Movie,0.0,0.0,0.0
genre_Pop,Movie,0.0,0.0,0.0
genre_R&B,Movie,0.0,0.0,0.0
genre_Rap,Movie,0.0,0.0,0.0
genre_Reggae,Movie,0.0,0.0,0.0
genre_Rock,Movie,0.0,0.0,0.0
genre_Ska,Movie,0.0,0.0,0.0
genre_Soul,Movie,0.0,0.0,0.0
genre_Soundtrack,Movie,0.0,0.0,0.0
genre_World,Movie,0.0,0.0,0.0
key_A,Movie,0.0,0.009736350830355308,0.006490900553570205
key_A#,Movie,0.0,0.009963612021866247,0.006642408014577498
key_B,Movie,0.0,0.010250835010270642,0.0068338900068470945
key_C,Movie,0.0,0.015343744804858858,0.010229163203239239
key_C#,Movie,0.0,0.015767739616586278,0.010511826411057518
key_D,Movie,0.0,0.009993123892082088,0.0066620825947213925
key_D#,Movie,0.0,0.006808785476888439,0.004539190317925626
key_E,Movie,0.0,0.008232461507991699,0.005488307671994466
key_F,Movie,0.0,0.010338804375485098,0.006892536250323399
